Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Capital (RS)
290,2026-04-30 12:15,2026-04-30 13:15,CE,23900,23950.15,24025.75,176.73,223.72,65,3054.35,163266.95
291,2026-04-30 13:15,2026-04-30 14:15,CE,23900,24022.85,24051.95,221.81,241.42,65,1274.65,164541.6
292,2026-05-04 09:15,2026-05-04 10:15,CE,24100,24175.2,24205.65,192.83,211.83,65,1235.0,165776.6
293,2026-05-04 11:15,2026-05-04 12:15,PE,24200,24117.0,24118.6,186.28,185.34,65,-61.1,165715.5
294,2026-05-05 09:15,2026-05-05 10:15,PE,24100,23986.0,23950.25,204.53,227.51,65,1493.7,167209.2
295,2026-05-05 12:15,2026-05-05 13:15,CE,24000,24068.8,24045.95,188.36,174.92,65,-873.6,166335.6
296,2026-05-06 09:15,2026-05-06 10:15,CE,24000,24137.3,24120.4,232.02,220.79,65,-729.95,165605.65
297,2026-05-06 14:15,2026-05-07 09:15,CE,24200,24321.35,24383.9,222.59,265.58,65,2794.35,168400.0
298,2026-05-07 12:15,2026-05-07 13:15,CE,24300,24389.7,24364.5,202.96,187.63,65,-996.45,167403.55
299,2026-05-08 09:15,2026-05-08 10:15,PE,24300,24211.3,24216.25,190.22,187.29,65,-190.45,167213.1
300,2026-05-11 09:15,2026-05-11 10:15,PE,24000,23893.4,23880.45,199.38,207.45,65,524.55,167737.65
301,2026-05-11 14:15,2026-05-12 09:15,PE,23900,23805.75,23649.0,191.29,298.71,65,6982.3,174719.95
302,2026-05-12 09:15,2026-05-12 10:15,PE,23800,23651.4,23613.7,225.15,250.86,65,1671.15,176391.1
303,2026-05-12 10:15,2026-05-12 11:15,PE,23700,23589.35,23586.6,200.22,201.94,65,111.8,176502.9
304,2026-05-12 12:15,2026-05-12 13:15,PE,23600,23536.8,23483.0,171.38,203.65,65,2097.55,178600.45
305,2026-05-12 13:15,2026-05-12 14:15,PE,23600,23457.5,23384.1,220.06,271.09,65,3316.95,181917.4
306,2026-05-12 14:15,2026-05-12 15:15,PE,23500,23354.8,23389.8,221.3,198.83,65,-1460.55,180456.85
307,2026-05-13 12:15,2026-05-13 13:15,CE,23400,23538.5,23505.5,229.35,207.55,65,-1417.0,179039.85
308,2026-05-13 14:15,2026-05-13 15:15,PE,23500,23425.7,23429.35,177.2,175.08,65,-137.8,178902.05
309,2026-05-14 09:15,2026-05-14 10:15,CE,23400,23495.8,23502.5,201.36,205.62,65,276.9,179178.95
310,2026-05-14 11:15,2026-05-14 12:15,CE,23600,23667.4,23712.15,185.07,213.03,65,1817.4,180996.35
311,2026-05-15 09:15,2026-05-15 10:15,CE,23700,23800.1,23803.95,205.89,208.34,65,159.25,181155.6
312,2026-05-18 09:15,2026-05-18 10:15,PE,23500,23362.4,23388.9,216.31,199.4,65,-1099.15,180056.45
313,2026-05-18 12:15,2026-05-18 13:15,CE,23500,23615.9,23624.4,214.88,220.48,65,364.0,180420.45
314,2026-05-19 09:15,2026-05-19 10:15,CE,23700,23754.25,23747.2,177.89,173.79,65,-266.5,180153.95
315,2026-05-19 14:15,2026-05-19 15:15,PE,23700,23624.55,23622.25,179.01,180.35,65,87.1,180241.05
316,2026-05-20 09:15,2026-05-20 10:15,PE,23600,23500.2,23510.65,192.98,186.66,65,-410.8,179830.25
317,2026-05-20 10:15,2026-05-20 11:15,CE,23500,23562.4,23605.0,181.47,207.82,65,1712.75,181543.0
318,2026-05-20 13:15,2026-05-20 14:15,CE,23600,23651.85,23655.75,175.87,178.15,65,148.2,181691.2
319,2026-05-21 09:15,2026-05-21 10:15,CE,23700,23767.5,23755.55,185.74,178.65,65,-460.85,181230.35
320,2026-05-22 11:15,2026-05-22 12:15,CE,23700,23798.6,23800.6,204.94,206.21,65,82.55,181312.9
321,2026-05-26 09:15,2026-05-26 10:15,CE,24000,24063.0,24054.55,184.89,179.91,65,-323.7,180989.2
322,2026-05-26 12:15,2026-05-26 13:15,PE,24100,23974.35,23945.1,211.87,230.93,65,1238.9,182228.1
323,2026-05-26 13:15,2026-05-26 14:15,PE,24000,23924.2,23920.45,180.93,183.12,65,142.35,182370.45
324,2026-05-26 14:15,2026-05-27 09:15,PE,24000,23908.8,23903.8,190.02,193.03,65,195.65,182566.1
325,2026-05-27 09:15,2026-05-27 10:15,CE,23800,23943.25,23941.35,234.89,233.6,65,-83.85,182482.25
326,2026-05-27 10:15,2026-05-27 11:15,CE,23900,23961.95,23948.0,183.65,175.48,65,-531.05,181951.2
327,2026-05-29 09:15,2026-05-29 10:15,CE,23800,23945.7,23916.9,236.56,217.31,65,-1251.25,180699.95
328,2026-05-29 11:15,2026-05-29 12:15,PE,23900,23835.7,23804.25,173.73,192.2,65,1200.55,181900.5
329,2026-05-29 12:15,2026-05-29 13:15,PE,23900,23769.25,23766.5,214.04,215.81,65,115.05,182015.55
330,2026-05-29 14:15,2026-05-29 15:15,PE,23600,23528.7,23521.6,176.03,180.17,65,269.1,182284.65
331,2026-06-01 13:15,2026-06-01 14:15,PE,23500,23416.95,23393.15,182.34,196.75,65,936.65,183221.3
332,2026-06-02 09:15,2026-06-02 10:15,PE,23400,23281.45,23300.65,203.52,191.58,65,-776.1,182445.2
333,2026-06-02 12:15,2026-06-02 13:15,CE,23400,23473.75,23511.65,187.68,211.52,65,1549.6,183994.8
334,2026-06-03 09:15,2026-06-03 10:15,PE,23300,23240.5,23229.8,167.56,173.68,65,397.8,184392.6
335,2026-06-03 12:15,2026-06-03 13:15,CE,23200,23298.35,23392.05,201.77,266.03,65,4176.9,188569.5
336,2026-06-03 13:15,2026-06-03 14:15,CE,23300,23388.2,23424.35,195.98,219.27,65,1513.85,190083.35
337,2026-06-04 09:15,2026-06-04 10:15,CE,23300,23431.35,23414.8,223.94,212.98,65,-712.4,189370.95
338,2026-06-05 14:15,2026-06-08 09:15,CE,23300,23365.75,23351.5,182.24,173.81,65,-547.95,188823.0
339,2026-06-08 09:15,2026-06-08 10:15,PE,23300,23174.25,23198.25,207.56,192.5,65,-978.9,187844.1
340,2026-06-08 14:15,2026-06-08 15:15,PE,23200,23134.45,23124.9,170.43,175.96,65,359.45,188203.55
341,2026-06-09 11:15,2026-06-09 12:15,CE,23100,23186.8,23191.65,193.9,196.93,65,196.95,188400.5
342,2026-06-09 14:15,2026-06-09 15:15,CE,23100,23244.8,23226.05,231.92,219.23,65,-824.85,187575.65
343,2026-06-10 09:15,2026-06-10 10:15,CE,23200,23317.0,23353.85,213.83,238.74,65,1619.15,189194.8
344,2026-06-10 14:15,2026-06-11 09:15,PE,23300,23199.7,23107.4,191.61,252.81,65,3978.0,193172.8
345,2026-06-11 09:15,2026-06-11 10:15,PE,23200,23145.5,23179.7,164.17,145.68,65,-1201.85,191970.95
346,2026-06-11 14:15,2026-06-11 15:15,PE,23300,23165.8,23191.4,213.02,196.73,65,-1058.85,190912.1
347,2026-06-12 09:15,2026-06-12 10:15,CE,23200,23342.65,23343.35,231.02,231.5,65,31.2,190943.3
348,2026-06-12 13:15,2026-06-12 14:15,CE,23400,23527.5,23610.2,221.95,280.54,65,3808.35,194751.65
349,2026-06-12 14:15,2026-06-15 09:15,CE,23500,23621.8,23969.7,218.76,500.39,65,18305.95,213057.6
350,2026-06-15 14:15,2026-06-16 09:15,PE,23900,23844.4,23877.85,168.82,150.72,65,-1176.5,211881.1
351,2026-06-17 09:15,2026-06-17 10:15,CE,23900,24047.7,24061.75,238.5,248.21,65,631.15,212512.25
352,2026-06-17 14:15,2026-06-18 09:15,CE,24000,24083.2,24104.4,197.12,210.43,65,865.15,213377.4
353,2026-06-18 09:15,2026-06-18 10:15,CE,24000,24125.6,24095.8,224.21,204.97,65,-1250.6,212126.8
354,2026-06-18 14:15,2026-06-19 09:15,CE,24100,24177.45,24153.95,194.2,180.18,65,-911.3,211215.5
355,2026-06-19 09:15,2026-06-19 10:15,PE,24100,24009.95,23972.45,189.9,213.08,65,1506.7,212722.2
356,2026-06-19 12:15,2026-06-19 13:15,PE,24000,23930.2,23949.85,177.45,166.36,65,-720.85,212001.35
357,2026-06-19 13:15,2026-06-19 14:15,CE,23900,23991.45,24007.4,201.64,211.75,65,657.15,212658.5
358,2026-06-19 14:15,2026-06-19 15:15,CE,23900,24025.9,24011.5,223.82,214.4,65,-612.3,212046.2
359,2026-06-22 09:15,2026-06-22 11:15,CE,24000,24149.65,24133.0,240.41,229.13,65,-733.2,211313.0
360,2026-06-23 09:15,2026-06-23 10:15,CE,24000,24124.05,24095.1,223.19,204.53,65,-1212.9,210100.1
361,2026-06-23 11:15,2026-06-23 12:15,PE,24100,23965.0,23943.9,217.86,231.73,65,901.55,211001.65
362,2026-06-23 14:15,2026-06-23 15:15,PE,23900,23827.7,23820.25,178.32,182.66,65,282.1,211283.75
363,2026-06-24 09:15,2026-06-24 10:15,CE,23800,23917.85,23956.2,217.93,243.78,65,1680.25,212964.0
364,2026-06-24 13:15,2026-06-24 14:15,CE,24000,24056.65,24033.75,181.14,167.98,65,-855.4,212108.6
